BastionName,ProjectCode,Environment,Zone,Indexing,ResourceGroup,SkuName,VirtualNetworkID,SubnetID,PublicIP,CopyAndPaste,NativeClientSupport,KerberosAuthentication,ShareableLink
bst-prj-uia-01,prj,u,ia,01,rsg-prj-uia-01,Developer,vnt-prj-uia-01,AzureBastionSubnet-ia,pip-prj-uia-wet-bst01,true,false,false,false
bst-prj-umgmt-01,prj,u,mgmt,01,rsg-prj-umgmt-01,Developer,vnt-prj-umgmt-01,AzureBastionSubnet-mgmt,pip-prj-umgmt-wet-bst01,true,false,false,false
